Date,Open,High,Low,Close,SMAVG (12)  on Close,Volume,SMAVG (15),ATR(5) (KOSPI),RSI (14)  on Close (KOSPI)
2013-12-29,1993.45,2009.96,1987.58,2002.28,2010.14,875990016,1229943296,43.4841,53.2019
2013-12-22,1960.6,1997.02,1956.63,1983.35,2009.7,1230000000,1268210688,51.9212,50.8191
2013-12-15,2000.52,2003.97,1947.44,1962.91,2012.07,1150000000,1282210688,57.6867,48.1733
2013-12-08,2050.45,2052.88,1971.44,1980.41,2015.62,1170000000,1319544064,58.2651,50.3257
2013-12-01,2020,2050.7,1998.9,2044.87,2016.78,1380000000,1365543936,46.6776,59.4039
2013-11-24,2014.24,2033.91,1985.65,2006.23,2009.32,1700000000,1364877312,44.1165,54.8727
2013-11-17,1995.86,2006.31,1963.42,2005.64,2002.66,1370000000,1348877312,42.0447,54.8012
2013-11-10,2035.08,2035.84,1984.86,1984.87,1991.37,1370000000,1372210688,41.6221,52.3313
2013-11-03,2037.28,2059.58,2030.09,2039.42,1985.98,1380000000,1391544064,35.1531,60.3777
2013-10-27,2054.16,2063.28,2023.82,2034.39,1972.75,1520000000,1414210688,37.9846,59.8491
2013-10-20,2026.07,2052.44,2019.65,2052.4,1963.5,1290000000,1408210688,37.2468,62.6269
2013-10-13,1997.17,2028.11,1981.21,2024.9,1951.7,1060000000,1436210688,39.4753,59.9942
2013-10-06,2002.02,2012.82,1985.63,1996.98,1938.91,1050000000,1458210688,35.7629,57.1484
2013-09-29,2000.72,2016.34,1988.87,2011.8,1928.33,1390000000,1486210688,40.0494,59.2249
2013-09-22,2011.69,2018.02,1994.31,2005.58,1913.45,513160000,1486877312,46.3392,58.6392
2013-09-15,1964.09,2017.48,1962.62,1994.32,1901.6,1450000000,1542666624,57.6538,57.6158
2013-09-08,1925.32,1962.15,1921.01,1955.31,1887.31,1440000000,1563333376,55.3957,53.9502
2013-09-01,1876.59,1926.37,1861.56,1926.36,1881.8,1710000000,1564666624,62.5236,51.0317
2013-08-25,1917.32,1923.42,1838.52,1870.16,1881.59,1860000000,1527333376,61.3804,44.7161
2013-08-18,1878.5,1927.59,1878.33,1920.11,1892.5,1370000000,1506666624,49.6206,50.0428
2013-08-11,1920.83,1925.6,1876.07,1880.71,1896.94,1460000000,1504000000,49.8009,45.2673
2013-08-04,1908.66,1939.28,1899.02,1923.38,1905.79,1720000000,1505333376,49.9364,50.0817
2013-07-28,1880.81,1915.97,1873.17,1910.81,1907.57,1660000000,1512000000,54.7746,48.5859
2013-07-21,1870.26,1894.7,1847.82,1871.41,1912.14,1720000000,1520000000,59.8819,43.6735
2013-07-14,1830.81,1877.6,1809.72,1869.98,1918.24,1430000000,1535333376,66.3828,43.4915
2013-07-07,1851.57,1867.18,1823.1,1833.31,1921.3,1710000000,1550000000,65.6342,38.7824
2013-06-30,1821.22,1864.09,1770.53,1863.32,1928.88,1390000000,1535333376,76.4113,41.4044
